Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;39.731,79;39.703,50;39.796,31;;;;;;;;;
2;39.735,63;39.700,94;39.801,98;;;;;;;;;
3;39.739,47;39.698,37;39.807,65;;;;;;;;;
4;39.743,31;39.695,81;39.813,33;;;;;;;;;
5;39.747,15;39.693,25;39.819,01;;;;;;;;;
6;39.751,00;39.690,68;39.824,68;;;;;;;;;
7;39.754,84;39.688,12;39.830,36;;;;;;;;;
8;39.758,68;39.685,56;39.836,04;;;;;;;;;
9;39.762,52;39.682,99;39.841,72;;;;;;;;;
10;39.759,95;39.688,65;;;;;;;;;;
11;39.757,38;39.694,31;;;;;;;;;;
12;39.754,82;39.699,97;;;;;;;;;;
13;39.752,25;39.705,63;;;;;;;;;;
14;39.749,68;39.711,29;;;;;;;;;;
15;39.747,12;39.716,95;;;;;;;;;;
16;39.744,55;39.722,61;;;;;;;;;;
17;39.741,98;39.728,28;;;;;;;;;;
18;39.739,42;39.733,94;;;;;;;;;;
19;39.736,85;39.739,61;;;;;;;;;;
20;39.734,28;39.745,27;;;;;;;;;;
21;39.731,72;39.750,94;;;;;;;;;;
22;39.729,15;39.756,61;;;;;;;;;;
23;39.726,59;39.762,28;;;;;;;;;;
24;39.724,02;39.767,95;;;;;;;;;;
25;39.721,45;39.773,62;;;;;;;;;;
26;39.718,89;39.779,29;;;;;;;;;;
27;39.716,32;39.784,96;;;;;;;;;;
28;39.713,76;39.790,63;;;;;;;;;;
29;39.711,20;;;;;;;;;;;
30;39.708,63;;;;;;;;;;;
31;39.706,07;;;;;;;;;;;
