Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;39.731,79;39.703,50;;;;;;;;;;
2;39.735,63;39.700,94;;;;;;;;;;
3;39.739,47;39.698,37;;;;;;;;;;
4;39.743,31;39.695,81;;;;;;;;;;
5;39.747,15;39.693,25;;;;;;;;;;
6;39.751,00;39.690,68;;;;;;;;;;
7;39.754,84;39.688,12;;;;;;;;;;
8;39.758,68;39.685,56;;;;;;;;;;
9;39.762,52;39.682,99;;;;;;;;;;
10;39.759,95;;;;;;;;;;;
11;39.757,38;;;;;;;;;;;
12;39.754,82;;;;;;;;;;;
13;39.752,25;;;;;;;;;;;
14;39.749,68;;;;;;;;;;;
15;39.747,12;;;;;;;;;;;
16;39.744,55;;;;;;;;;;;
17;39.741,98;;;;;;;;;;;
18;39.739,42;;;;;;;;;;;
19;39.736,85;;;;;;;;;;;
20;39.734,28;;;;;;;;;;;
21;39.731,72;;;;;;;;;;;
22;39.729,15;;;;;;;;;;;
23;39.726,59;;;;;;;;;;;
24;39.724,02;;;;;;;;;;;
25;39.721,45;;;;;;;;;;;
26;39.718,89;;;;;;;;;;;
27;39.716,32;;;;;;;;;;;
28;39.713,76;;;;;;;;;;;
29;39.711,20;;;;;;;;;;;
30;39.708,63;;;;;;;;;;;
31;39.706,07;;;;;;;;;;;
